age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
43,technician,single,secondary,no,593,yes,no,unknown,5,may,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,1,-1,0,unknown,no
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
55,services,divorced,secondary,no,91,no,no,unknown,5,may,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,1,-1,0,unknown,no
33,management,single,tertiary,no,-67,yes,no,unknown,5,may,1,-1,0,unknown,no
33,technician,single,secondary,no,105,yes,no,unknown,5,may,2,-1,0,unknown,no
29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,1,-1,0,unknown,no
33,services,married,secondary,no,22,yes,no,unknown,5,may,1,-1,0,unknown,no
39,technician,single,tertiary,no,47,yes,no,unknown,5,may,1,-1,0,unknown,no
31,management,single,tertiary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,no
51,retired,married,secondary,no,2127,yes,no,unknown,5,may,1,-1,0,unknown,no
50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,1,-1,0,unknown,no
41,management,married,tertiary,no,176,yes,yes,unknown,5,may,1,-1,0,unknown,no
41,management,married,tertiary,no,517,yes,no,unknown,5,may,1,-1,0,unknown,no
45,blue-collar,married,primary,no,25,yes,no,unknown,5,may,1,-1,0,unknown,no
41,admin.,married,secondary,no,-62,yes,yes,unknown,5,may,2,-1,0,unknown,no
51,admin.,married,secondary,no,531,yes,no,unknown,5,may,2,-1,0,unknown,no
57,retired,married,secondary,no,211,yes,no,unknown,5,may,2,-1,0,unknown,no
51,admin.,single,secondary,yes,-2,no,no,unknown,5,may,3,-1,0,unknown,no
38,blue-collar,married,secondary,no,20,yes,no,unknown,6,may,1,-1,0,unknown,no
52,technician,married,unknown,no,7,no,no,unknown,6,may,2,-1,0,unknown,no
39,admin.,single,secondary,no,-25,yes,no,unknown,6,may,1,-1,0,unknown,no
43,unemployed,married,secondary,no,0,yes,no,unknown,6,may,1,-1,0,unknown,no
41,technician,married,secondary,no,871,yes,no,unknown,6,may,1,-1,0,unknown,no
